230	  Median after-tax income of household in 2020 ($)
231	    Total - Income statistics for one-person private households - 100% data
232	      Median total income of one-person households in 2020 ($)
233	      Median after-tax income of one-person households in 2020 ($)
234	    Total - Income statistics for two-or-more-persons private households - 100% data
235	      Median total income of two-or-more-person households in 2020 ($)
236	      Median after-tax income of two-or-more-person households in 2020 ($)
237	Total - Income statistics for private households - 25% sample data (21)
238	  Average total income of household in 2020 ($)
239	  Average after-tax income of household in 2020 ($)
240	    Total - Income statistics for one-person private households - 25% sample data
241	      Average total income of one-person households in 2020 ($)
242	      Average after-tax income of one-person households in 2020 ($)
243	    Total - Income statistics for two-or-more-persons private households - 25% sample data
244	      Average total income of two-or-more-person households in 2020 ($)
245	      Average after-tax income of two-or-more-person households in 2020 ($)
246	Total - Household total income groups in 2020 for private households - 100% data (16)
247	  Under $5,000
248	  $5,000 to $9,999
249	  $10,000 to $14,999
250	  $15,000 to $19,999
251	  $20,000 to $24,999
252	  $25,000 to $29,999
253	  $30,000 to $34,999
254	  $35,000 to $39,999
255	  $40,000 to $44,999
256	  $45,000 to $49,999
257	  $50,000 to $59,999
258	  $60,000 to $69,999
259	  $70,000 to $79,999
260	  $80,000 to $89,999
261	  $90,000 to $99,999
262	  $100,000 and over
263	    $100,000 to $124,999
264	    $125,000 to $149,999
265	    $150,000 to $199,999
266	    $200,000 and over
267	Total - Household after-tax income groups in 2020 for private households - 100% data (17)
268	  Under $5,000
269	  $5,000 to $9,999
270	  $10,000 to $14,999
271	  $15,000 to $19,999
272	  $20,000 to $24,999
273	  $25,000 to $29,999
274	  $30,000 to $34,999
275	  $35,000 to $39,999
276	  $40,000 to $44,999
277	  $45,000 to $49,999
278	  $50,000 to $59,999
279	  $60,000 to $69,999
280	  $70,000 to $79,999
281	  $80,000 to $89,999
282	  $90,000 to $99,999
283	  $100,000 and over
284	    $100,000 to $124,999
285	    $125,000 to $149,999
286	    $150,000 and over
287	Total - Income statistics for economic families in private households - 100% data (22)
288	  Median total income of economic family in 2020 ($)
289	  Median after-tax income of economic family in 2020 ($)
290	  Average family size of economic families
291	Total - Income statistics for couple-only economic families in private households - 100% data
292	  Median total income of couple-only economic families in 2020 ($)
293	  Median after-tax income of couple-only economic families in 2020 ($)
294	  Average family size of couple-only economic families
295	Total - Income statistics for couple-with-children economic families in private households - 100% data
296	  Median total income of couple-with-children economic families  in 2020 ($)
297	  Median after-tax income of couple-with-children economic families in 2020 ($)
298	  Average family size of couple-with-children economic families
299	Total - Income statistics for one-parent economic families in private households - 100% data
300	  Median total income of one-parent economic families in 2020 ($)
301	  Median after-tax income of one-parent economic families in 2020 ($)
302	  Average family size of one-parent economic families
303	Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data (23)
304	  Median total income in 2020 ($) (24)
305	  Median after-tax income in 2020 ($) (24)
306	Total - Income statistics for economic families in private households - 25% sample data (25)
307	  Average total income of economic family in 2020 ($)
308	  Average after-tax income of economic family in 2020 ($)
309	Total - Income statistics for couple-only economic families in private households - 25% sample data
310	  Average total income of couple-only economic families in 2020 ($)
311	  Average after-tax income of couple-only economic families in 2020 ($)
312	Total - Income statistics for couple-with-children economic families in private households - 25% sample data
313	  Average total income of couple-with-children economic families in 2020 ($)
314	  Average after-tax income of couple-with-children economic families in 2020 ($)
315	Total - Income statistics for one-parent economic families in private households - 25% sample data
316	  Average total income of one-parent economic families in 2020 ($)
317	  Average after-tax income of one-parent economic families in 2020 ($)
318	Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data (26)
319	  Average total income in 2020 ($) (24)
320	  Average after-tax income in 2020 ($) (24)
321	Total - LIM low-income status in 2020 for the population in private households - 100% data (27)
322	  0 to 17 years
323	    0 to 5 years
324	  18 to 64 years
325	  65 years and over
326	In low income based on the Low-income measure, after tax (LIM-AT)
327	  0 to 17 years
328	    0 to 5 years
329	  18 to 64 years
330	  65 years and over
331	Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)
332	  0 to 17 years (%)
333	    0 to 5 years (%)
334	  18 to 64 years (%)
335	  65 years and over (%)
336	Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data (27)
337	  0 to 17 years
338	    0 to 5 years
339	  18 to 64 years
340	  65 years and over
341	In low income based on the Low-income cut-offs, after tax (LICO-AT)
342	  0 to 17 years
343	    0 to 5 years
344	  18 to 64 years
345	  65 years and over
346	Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)
347	  0 to 17 years (%)
348	    0 to 5 years (%)
349	  18 to 64 years (%)
350	  65 years and over (%)
351	Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data (28)
352	  In bottom half of the distribution
353	    In bottom decile
354	    In second decile
355	    In third decile
356	    In fourth decile
357	    In fifth decile
358	  In top half of the distribution
359	    In sixth decile
360	    In seventh decile
361	    In eighth decile
362	    In ninth decile
363	    In top decile
364	Total - Inequality measures for the population in private households - 100% data (29)
365	  Gini index on adjusted household total income
366	  Gini index on adjusted household market income
367	  Gini index on adjusted household after-tax income
368	  P90/P10 ratio on adjusted household after-tax income
369	Total - Knowledge of official languages for the total population excluding institutional residents - 100% data (30)
370	  English only
371	  French only
372	  English and French
373	  Neither English nor French
374	Total - First official language spoken for the total population excluding institutional residents - 100% data (31)
375	  English
376	  French
377	  English and French
378	  Neither English nor French
379	Total - Mother tongue for the total population excluding institutional residents - 100% data (32)
380	  Single responses
381	    Official languages
382	      English
383	      French
384	    Non-official languages
385	      Indigenous languages (33)
386	        Algonquian languages
387	          Blackfoot
388	          Cree-Innu languages
389	            Atikamekw
390	            Cree languages
391	              Ililimowin (Moose Cree)
392	              Inu Ayimun (Southern East Cree)
393	              Iyiyiw-Ayimiwin (Northern East Cree)
394	              Nehinawewin (Swampy Cree)
395	              Nehiyawewin (Plains Cree)
396	              Nihithawiwin (Woods Cree)
397	              Cree, n.o.s.
398	            Innu (Montagnais)
399	            Naskapi
400	          Eastern Algonquian languages
401	            Mi'kmaq
402	            Wolastoqewi (Malecite)
403	          Ojibway-Potawatomi languages
404	            Anicinabemowin (Algonquin)
405	            Oji-Cree
406	            Ojibway languages
407	              Anishinaabemowin (Chippewa)
408	              Daawaamwin (Odawa)
409	              Saulteau (Western Ojibway)
410	              Ojibway, n.o.s.
411	          Algonquian languages, n.i.e.
412	        Athabaskan languages
413	          Northern Athabaskan languages
414	            Dakelh (Carrier)
415	            Dane-zaa (Beaver)
416	            Dene, n.o.s.
417	            Gwich'in
418	            Slavey-Hare languages
419	              Deh Gah Ghotie Zhatie (South Slavey)
420	              Satuotine Yati (North Slavey)
421	              Slavey, n.o.s.
422	            Tahltan languages
423	              Kaska (Nahani)
424	              Tahltan
425	            Tlicho (Dogrib)
426	            Tse'khene (Sekani)
427	            Tsilhqot'in (Chilcotin)
428	            Tsuu T'ina (Sarsi)
429	            Tutchone languages
430	              Northern Tutchone
431	              Southern Tutchone
432	              Tutchone, n.o.s.
433	            Wetsuwet'en-Babine
434	          Tlingit
435	          Athabaskan languages, n.i.e.
436	        Haida
437	        Inuktut (Inuit) languages
438	          Inuinnaqtun (Inuvialuktun)
439	            Inuinnaqtun
440	            Inuvialuktun
441	          Inuktitut
442	          Inuktut (Inuit) languages, n.i.e.
443	        Iroquoian languages
444	          Cayuga
445	          Mohawk
446	          Oneida
447	          Iroquoian languages, n.i.e.
448	        Ktunaxa (Kutenai)
449	        Michif
450	        Salish languages
451	          Halkomelem
452	          Lillooet
453	          Ntlakapamux (Thompson)
454	          Secwepemctsin (Shuswap)
455	          Squamish
456	          Straits
457	          Syilx (Okanagan)
458	          Salish languages, n.i.e.
459	        Siouan languages
460	          Assiniboine
461	          Dakota
462	          Stoney
463	          Siouan languages, n.i.e.
464	        Tsimshian languages
465	          Gitxsan (Gitksan)
466	          Nisga'a
467	          Tsimshian
468	        Wakashan languages
469	          Haisla
470	          Heiltsuk
471	          Kwak'wala (Kwakiutl)
472	          Nuu-chah-nulth (Nootka)
473	          Wakashan languages, n.i.e.
474	        Indigenous languages, n.i.e.
475	        Indigenous languages, n.o.s.
476	      Non-Indigenous languages
477	        Afro-Asiatic languages
478	          Berber languages
479	            Kabyle
480	            Tamazight
481	            Berber languages, n.i.e.
482	          Chadic languages
483	            Hausa
484	            Mina
485	          Coptic
486	          Cushitic languages
487	            Bilen
488	            Oromo
489	            Somali
490	            Cushitic languages, n.i.e.
491	          Semitic languages
492	            Amharic
493	            Arabic
494	            Aramaic languages
495	              Assyrian Neo-Aramaic
496	              Chaldean Neo-Aramaic
497	              Aramaic, n.o.s.
498	            Harari
499	            Hebrew
500	            Maltese
501	            Tigrigna
502	            Semitic languages, n.i.e.
503	        Austro-Asiatic languages
504	          Khmer (Cambodian)
505	          Vietnamese
506	          Austro-Asiatic languages, n.i.e
507	        Austronesian languages
508	          Bikol
509	          Bisaya, n.o.s.
510	          Cebuano
511	          Fijian
512	          Hiligaynon
513	          Ilocano
514	          Indonesian
515	          Kankanaey
516	          Kinaray-a
517	          Malagasy languages
518	            Merina
519	            Malagasy, n.o.s.
520	          Malay
521	          Pampangan (Kapampangan, Pampango)
522	          Pangasinan
523	          Tagalog (Pilipino, Filipino)
524	          Waray-Waray
525	          Austronesian languages, n.i.e.
526	        Creole languages
527	          Haitian Creole
528	          Jamaican English Creole
529	          Krio
530	          Morisyen
531	          Sango
532	          Creole, n.o.s.
533	          Creole languages, n.i.e.
534	        Dravidian languages
535	          Kannada
536	          Malayalam
537	          Tamil
538	          Telugu
539	          Tulu
540	          Dravidian languages, n.i.e.
541	        Georgian
542	        Hmong-Mien languages
543	        Indo-European languages
544	          Albanian
545	          Armenian
546	          Balto-Slavic languages
547	            Baltic languages
548	              Latvian
549	              Lithuanian
550	            Slavic languages
551	              Belarusian
552	              Bulgarian
553	              Czech
554	              Macedonian
555	              Polish
556	              Russian
557	              Rusyn
558	              Serbo-Croatian
559	                Bosnian
560	                Croatian
561	                Serbian
562	                Serbo-Croatian, n.i.e.
563	              Slovak
564	              Slovene (Slovenian)
565	              Ukrainian
566	              Slavic languages, n.i.e.
567	          Celtic languages
568	            Irish
569	            Scottish Gaelic
570	            Welsh
571	            Celtic languages, n.i.e.
572	          Germanic languages
573	            Frisian
574	            High German languages
575	              German
576	              Pennsylvania German
577	              Swiss German
578	              Yiddish
579	            Low Saxon-Low Franconian languages
580	              Afrikaans
581	              Dutch
582	              Low German, n.o.s.
583	              Low Saxon
584	              Plautdietsch
585	              Vlaams (Flemish)
586	            Scandinavian languages
587	              Danish
588	              Icelandic
589	              Norwegian
590	              Swedish
591	            Germanic languages, n.i.e.
592	          Greek
593	          Indo-Iranian languages
594	            Indo-Aryan languages
595	              Assamese
596	              Bengali
597	              Gujarati
598	              Hindi
599	              Kacchi
600	              Kashmiri
601	              Konkani
602	              Marathi
603	              Nepali
604	              Oriya languages
605	                Odia
606	                Oriya, n.o.s.
607	              Punjabi (Panjabi)
608	              Rohingya
609	              Sindhi
610	              Sinhala (Sinhalese)
611	              Urdu
612	              Indo-Aryan languages, n.i.e.
613	            Iranian languages
614	              Baluchi
615	              Kurdish
616	              Parsi
617	              Pashto
618	              Persian languages
619	                Dari
620	                Iranian Persian
621	                Persian (Farsi), n.o.s.
622	              Iranian languages, n.i.e.
623	            Indo-Iranian languages, n.i.e.
624	          Italic (Romance) languages
625	            Catalan
626	            Italian
627	            Portuguese
628	            Romanian
629	            Spanish
630	            Italic (Romance) languages, n.i.e.
631	          Indo-European languages, n.i.e.
632	        Japanese
633	        Korean
634	        Mongolian
635	        Niger-Congo languages
636	          Akan (Twi)
637	          Bamanankan
638	          Edo
639	          Éwé
640	          Fulah (Pular, Pulaar, Fulfulde)
641	          Ga
642	          Ganda
643	          Gikuyu
644	          Igbo
645	          Kinyarwanda (Rwanda)
646	          Lingala
647	          Luba-Kasai
648	          Mòoré
649	          Mwani
650	          Ndebele
651	          Rundi (Kirundi)
652	          Shona
653	          Soninke
654	          Sotho-Tswana languages
655	          Swahili
656	          Wojenaka
657	          Wolof
658	          Yoruba
659	          Niger-Congo languages, n.i.e.
660	        Nilo-Saharan languages
661	          Dinka
662	          Nuer
663	          Nilo-Saharan languages, n.i.e.
664	          African, n.o.s.
665	        Sign languages
666	          American Sign Language
667	          Quebec Sign Language
668	          Sign languages, n.i.e.
669	        Sino-Tibetan languages
670	          Chinese languages
671	            Hakka
672	            Mandarin
673	            Min Dong
674	            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)
675	            Wu (Shanghainese)
676	            Yue (Cantonese)
677	            Chinese, n.o.s.
678	            Chinese languages, n.i.e.
679	          Tibeto-Burman languages
680	            Burmese
681	            Kuki-Chin languages
682	            Karenic languages
683	              S'gaw Karen
684	              Karenic languages, n.i.e.
685	            Tibetan
686	            Tibeto-Burman languages, n.i.e.
687	          Sino-Tibetan languages, n.i.e.
688	        Tai-Kadai languages
689	          Lao
690	          Thai
691	          Tai-Kadai languages, n.i.e.
692	        Turkic languages
693	          Azerbaijani
694	          Kazakh
695	          Turkish
696	          Uyghur
697	          Uzbek
698	          Turkic languages, n.i.e.
699	        Uralic languages
700	          Estonian
701	          Finnish
702	          Hungarian
703	        Other languages, n.i.e.
704	  Multiple responses
705	    English and French
706	    English and non-official language(s)
707	    French and non-official language(s)
708	    English, French and non-official language(s)
709	    Multiple non-official languages
710	Total - All languages spoken at home for the total population excluding institutional residents - 100% data (34)
711	  English
712	  French
713	  Non-official language
714	    Indigenous (33)
715	    Non-Indigenous
716	  English and French
717	  English and non-official language(s)
718	  French and non-official language(s)
719	  English, French and non-official language(s)
720	  Multiple non-official languages
721	Total - Language spoken most often at home for the total population excluding institutional residents - 100% data (35)
722	  Single responses
723	    Official languages
724	      English
725	      French
726	    Non-official languages
727	      Indigenous languages (33)
728	        Algonquian languages
729	          Blackfoot
730	          Cree-Innu languages
731	            Atikamekw
732	            Cree languages
733	              Ililimowin (Moose Cree)
734	              Inu Ayimun (Southern East Cree)
735	              Iyiyiw-Ayimiwin (Northern East Cree)
736	              Nehinawewin (Swampy Cree)
737	              Nehiyawewin (Plains Cree)
738	              Nihithawiwin (Woods Cree)
739	              Cree, n.o.s.
740	            Innu (Montagnais)
741	            Naskapi
742	          Eastern Algonquian languages
743	            Mi'kmaq
744	            Wolastoqewi (Malecite)
745	          Ojibway-Potawatomi languages
746	            Anicinabemowin (Algonquin)
747	            Oji-Cree
748	            Ojibway languages
749	              Anishinaabemowin (Chippewa)
750	              Daawaamwin (Odawa)
751	              Saulteau (Western Ojibway)
752	              Ojibway, n.o.s.
753	          Algonquian languages, n.i.e.
754	        Athabaskan languages
755	          Northern Athabaskan languages
756	            Dakelh (Carrier)
757	            Dane-zaa (Beaver)
758	            Dene, n.o.s.
759	            Gwich'in
760	            Slavey-Hare languages
761	              Deh Gah Ghotie Zhatie (South Slavey)
762	              Satuotine Yati (North Slavey)
763	              Slavey, n.o.s.
764	            Tahltan languages
765	              Kaska (Nahani)
766	              Tahltan
767	            Tlicho (Dogrib)
768	            Tse'khene (Sekani)
769	            Tsilhqot'in (Chilcotin)
770	            Tsuu T'ina (Sarsi)
771	            Tutchone languages
772	              Northern Tutchone
773	              Southern Tutchone
774	              Tutchone, n.o.s.
775	            Wetsuwet'en-Babine
776	          Tlingit
777	          Athabaskan languages, n.i.e.
778	        Haida
779	        Inuktut (Inuit) languages
780	          Inuinnaqtun (Inuvialuktun)
781	            Inuinnaqtun
782	            Inuvialuktun
783	          Inuktitut
784	          Inuktut (Inuit) languages, n.i.e.
785	        Iroquoian languages
786	          Cayuga
787	          Mohawk
788	          Oneida
789	          Iroquoian languages, n.i.e.
790	        Ktunaxa (Kutenai)
791	        Michif
792	        Salish languages
793	          Halkomelem
794	          Lillooet
795	          Ntlakapamux (Thompson)
796	          Secwepemctsin (Shuswap)
797	          Squamish
798	          Straits
799	          Syilx (Okanagan)
800	          Salish languages, n.i.e.
801	        Siouan languages
802	          Assiniboine
803	          Dakota
804	          Stoney
805	          Siouan languages, n.i.e.
806	        Tsimshian languages
807	          Gitxsan (Gitksan)
808	          Nisga'a
809	          Tsimshian
810	        Wakashan languages
811	          Haisla
812	          Heiltsuk
813	          Kwak'wala (Kwakiutl)
814	          Nuu-chah-nulth (Nootka)
815	          Wakashan languages, n.i.e.
816	        Indigenous languages, n.i.e.
817	        Indigenous languages, n.o.s.
818	      Non-Indigenous languages
819	        Afro-Asiatic languages
820	          Berber languages
821	            Kabyle
822	            Tamazight
823	            Berber languages, n.i.e.
824	          Chadic languages
825	            Hausa
826	            Mina
827	          Coptic
828	          Cushitic languages
829	            Bilen
830	            Oromo
831	            Somali
832	            Cushitic languages, n.i.e.
833	          Semitic languages
834	            Amharic
835	            Arabic
836	            Aramaic languages
837	              Assyrian Neo-Aramaic
838	              Chaldean Neo-Aramaic
839	              Aramaic, n.o.s.
840	            Harari
841	            Hebrew
842	            Maltese
843	            Tigrigna
844	            Semitic languages, n.i.e.
845	        Austro-Asiatic languages
846	          Khmer (Cambodian)
847	          Vietnamese
848	          Austro-Asiatic languages, n.i.e
849	        Austronesian languages
850	          Bikol
851	          Bisaya, n.o.s.
852	          Cebuano
853	          Fijian
854	          Hiligaynon
855	          Ilocano
856	          Indonesian
857	          Kankanaey
858	          Kinaray-a
859	          Malagasy languages
860	            Merina
861	            Malagasy, n.o.s.
862	          Malay
863	          Pampangan (Kapampangan, Pampango)
864	          Pangasinan
865	          Tagalog (Pilipino, Filipino)
866	          Waray-Waray
867	          Austronesian languages, n.i.e.
868	        Creole languages
869	          Haitian Creole
870	          Jamaican English Creole
871	          Krio
872	          Morisyen
873	          Sango
874	          Creole, n.o.s.
875	          Creole languages, n.i.e.
876	        Dravidian languages
877	          Kannada
878	          Malayalam
879	          Tamil
880	          Telugu
881	          Tulu
882	          Dravidian languages, n.i.e.
883	        Georgian
884	        Hmong-Mien languages
885	        Indo-European languages
886	          Albanian
887	          Armenian
888	          Balto-Slavic languages
889	            Baltic languages
890	              Latvian
891	              Lithuanian
892	            Slavic languages
893	              Belarusian
894	              Bulgarian
895	              Czech
896	              Macedonian
897	              Polish
898	              Russian
899	              Rusyn
900	              Serbo-Croatian
901	                Bosnian
902	                Croatian
903	                Serbian
904	                Serbo-Croatian, n.i.e.
905	              Slovak
906	              Slovene (Slovenian)
907	              Ukrainian
908	              Slavic languages, n.i.e.
909	          Celtic languages
910	            Irish
911	            Scottish Gaelic
912	            Welsh
913	            Celtic languages, n.i.e.
914	          Germanic languages
915	            Frisian
916	            High German languages
917	              German
918	              Pennsylvania German
919	              Swiss German
920	              Yiddish
921	            Low Saxon-Low Franconian languages
922	              Afrikaans
923	              Dutch
924	              Low German, n.o.s.
925	              Low Saxon
926	              Plautdietsch
927	              Vlaams (Flemish)
928	            Scandinavian languages
929	              Danish
930	              Icelandic
931	              Norwegian
932	              Swedish
933	            Germanic languages, n.i.e.
934	          Greek
935	          Indo-Iranian languages
936	            Indo-Aryan languages
937	              Assamese
938	              Bengali
939	              Gujarati
940	              Hindi
941	              Kacchi
942	              Kashmiri
943	              Konkani
944	              Marathi
945	              Nepali
946	              Oriya languages
947	                Odia
948	                Oriya, n.o.s.
949	              Punjabi (Panjabi)
950	              Rohingya
951	              Sindhi
952	              Sinhala (Sinhalese)
953	              Urdu
954	              Indo-Aryan languages, n.i.e.
955	            Iranian languages
956	              Baluchi
957	              Kurdish
958	              Parsi
959	              Pashto
960	              Persian languages
961	                Dari
962	                Iranian Persian
963	                Persian (Farsi), n.o.s.
964	              Iranian languages, n.i.e.
965	            Indo-Iranian languages, n.i.e.
966	          Italic (Romance) languages
967	            Catalan
968	            Italian
969	            Portuguese
970	            Romanian
971	            Spanish
972	            Italic (Romance) languages, n.i.e.
973	          Indo-European languages, n.i.e.
